ITEM_SEQ,ITEM_NAME,ENTP_NAME,CHART,PRINT_FRONT,PRINT_BACK,DRUG_SHAPE,COLOR_CLASS1,COLOR_CLASS2,LINE_FRONT,LINE_BACK,LENG_LONG,LENG_SHORT,THICK,CLASS_NAME,ETC_OTC_NAME,ITEM_PERMIT_DATE,FORM_CODE_NAME,MARK_CODE_FRONT_ANAL,MARK_CODE_BACK_ANAL,ITEM_IMAGE,MARK_CODE_FRONT_IMG,MARK_CODE_BACK_IMG,ITEM_ENG_NAME,EDI_CODE,last_updated
200808876,가스디알정50밀리그램(디메크로틴산마그네슘),일동제약(주),녹색의 원형 필름코팅정,IDG,,원형,연두,,,,7.6,7.6,3.6,기타의 소화기관용약,전문의약품,20080820,당의정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300104,,,,,2024-12-11 2:55
200808877,페라트라정2.5밀리그램(레트로졸),(주)유한양행,어두운 황색의 원형 필름코팅정,YH,LT,원형,노랑,,,,6.1,6.1,3.5,항악성종양제,전문의약품,20080820,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300107,,,,,2024-12-11 2:55
200808948,졸뎀속붕정(졸피뎀타르타르산염),보령제약(주),흰색의 원형 구강붕해정제,,,원형,하양,,,,9,9,4,최면진정제,전문의약품,20080825,정제,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300128,,,,,2024-12-11 2:55
200809076,가스프렌정(모사프리드시트르산염이수화물),경동제약(주),분할선을 가진 흰색의 장방형 필름코팅정제,KD,분할선,장방형,하양,,,-,9.1,4.5,3.4,기타의 소화기관용약,전문의약품,20080828,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300143,,,Gaspren Tab,648102540,2024-12-11 2:55
200809361,바르탄정(발사르탄),(주)휴온스,엷은 적색의 원형 필름코팅정,V분할선T,HS8,원형,분홍,,-,,6.5,6.5,1.8,혈압강하제,전문의약품,20080908,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300155,,,,,2024-12-11 2:55
200809402,리피논정80밀리그램(아토르바스타틴칼슘삼수화물),동아에스티(주),이 약은 흰색의 타원형 필름코팅정이다.,LPT,80,타원형,하양,,,,19.55,10.50,7.06,동맥경화용제,전문의약품,20080910,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300161,,,Lipinon tablet 80mg (Atorvastatin calcium trihydrate),642506260,2024-12-11 2:55
200809710,사르발탄정160밀리그램(발사르탄),(주)서울제약,회색빛을 띠는 오렌지색의 타원형 필름코팅정,SPC,V분할선16,타원형,주황,,,-,14.19,6.13,5.20,혈압강하제,전문의약품,20080919,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/153432591328100009,,,Sarvaltan Tab. 160mg,652902340,2024-12-11 2:55
200809882,가스베트정5밀리그램(모사프리드시트르산염수화물),일동제약(주),흰색의 장방형 필름코팅정,ID·5,분할선,장방형,하양,,,-,9,4.6,3.2,기타의 소화기관용약,전문의약품,20080926,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333330132500103,,,Gasbet Tab. 5mg(Mosapride citrate hydrate),,2024-12-11 2:55
200809883,아푸르탄정150밀리그램(이르베사르탄),동아에스티(주),흰색 또는 거의 흰색의 양쪽이 볼록한 타원형 필름코팅정제,AT,150,타원형,하양,,,,12.4,6.4,4.95,혈압강하제,전문의약품,20080926,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300198,,,,,2024-12-11 2:55
200809909,발사르텔정80밀리그램(발사르탄),주식회사제뉴원사이언스,분홍색의 원형 필름코팅정,V분할선8,KK,원형,분홍,,-,,8.2,8.2,3.6,혈압강하제,전문의약품,20080929,필름코팅정,,,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OCNrLiTjPI,,,Valsartel Tab. 80mg,671702870,2024-12-11 2:55
